Row.ID,Order.Date,Sales,Category,Sub.Category,Region
41,12/27/15,371.168,Technology,Phones,Central
42,9/10/17,147.168,Technology,Phones,Central
43,7/17/16,77.88,Office Supplies,Storage,West
44,9/19/17,95.616,Office Supplies,Storage,South
45,3/11/16,45.98,Technology,Accessories,Central
46,3/11/16,17.46,Office Supplies,Binders,Central
47,10/20/14,211.96,Office Supplies,Storage,Central
48,6/20/16,45.0,Technology,Accessories,East
49,6/20/16,21.8,Technology,Phones,East
50,4/18/15,38.22,Office Supplies,Binders,Central
51,4/18/15,75.18,Office Supplies,Labels,Central
52,4/18/15,6.16,Furniture,Furnishings,Central
53,4/18/15,89.99,Furniture,Chairs,Central
54,12/11/16,15.26,Office Supplies,Fasteners,East
55,12/11/16,1029.95,Technology,Phones,East
56,6/17/16,208.56,Office Supplies,Storage,East
57,6/17/16,32.4,Office Supplies,Paper,East
58,6/17/16,319.41,Furniture,Chairs,East
59,6/17/16,14.56,Office Supplies,Paper,East
60,6/17/16,30.0,Technology,Accessories,East
61,6/17/16,48.48,Office Supplies,Binders,East
62,6/17/16,1.68,Office Supplies,Art,East
63,11/24/15,13.98,Technology,Accessories,West
64,11/24/15,25.824,Office Supplies,Binders,West
65,11/24/15,146.73,Office Supplies,Paper,West
66,11/24/15,79.76,Furniture,Furnishings,West
67,4/30/15,213.115,Furniture,Chairs,Central
68,12/5/14,1113.024,Office Supplies,Art,West
69,12/5/14,167.968,Technology,Phones,West
70,6/4/16,75.88,Office Supplies,Paper,South
71,9/18/16,4.616,Office Supplies,Binders,East
72,9/14/17,19.05,Office Supplies,Paper,Central
73,4/26/15,831.936,Furniture,Chairs,South
74,4/26/15,97.04,Furniture,Furnishings,South
75,4/26/15,72.784,Office Supplies,Storage,South
76,12/9/17,1.248,Office Supplies,Binders,Central
77,12/9/17,9.708,Furniture,Furnishings,Central
78,12/9/17,27.24,Office Supplies,Storage,Central
79,11/26/14,19.3,Furniture,Furnishings,Central
80,6/12/16,208.16,Office Supplies,Appliances,South
81,6/12/16,16.74,Office Supplies,Binders,South
82,10/12/14,14.9,Office Supplies,Art,West
83,10/12/14,21.39,Office Supplies,Storage,West
84,9/3/15,200.984,Office Supplies,Envelopes,South
85,11/13/17,230.376,Office Supplies,Storage,Central
86,5/28/17,301.96,Furniture,Chairs,South
87,10/26/17,19.99,Technology,Accessories,Central
88,10/26/17,6.16,Office Supplies,Labels,Central
89,4/5/16,158.368,Office Supplies,Storage,Central
90,9/17/16,20.1,Office Supplies,Art,West
91,9/17/16,73.584,Technology,Phones,West
92,9/17/16,6.48,Office Supplies,Paper,West
93,1/31/15,12.96,Office Supplies,Paper,Central
94,1/31/15,53.34,Furniture,Furnishings,Central
95,1/31/15,32.96,Office Supplies,Binders,Central
96,11/6/17,5.682,Office Supplies,Binders,West
97,11/9/17,96.53,Furniture,Furnishings,East
98,6/17/17,51.312,Office Supplies,Binders,West
99,9/6/16,77.88,Office Supplies,Appliances,Central
100,8/29/16,64.624,Office Supplies,Paper,Central
101,8/29/16,95.976,Technology,Accessories,Central
102,8/29/16,1.788,Office Supplies,Binders,Central
103,12/1/16,23.92,Office Supplies,Paper,Central
104,11/13/15,238.896,Technology,Accessories,West
105,11/13/15,102.36,Furniture,Furnishings,West
106,11/13/15,36.882,Office Supplies,Binders,West
107,11/23/17,74.112,Technology,Accessories,South
108,11/23/17,27.992,Technology,Phones,South
109,11/23/17,3.304,Office Supplies,Art,South
110,10/15/15,339.96,Technology,Accessories,Central
111,12/25/17,41.96,Furniture,Furnishings,East
112,11/3/16,75.96,Office Supplies,Art,Central
113,11/3/16,27.24,Office Supplies,Binders,Central
114,8/25/14,40.096,Office Supplies,Fasteners,East
115,8/25/14,4.72,Office Supplies,Envelopes,East
116,8/25/14,23.976,Office Supplies,Paper,East
117,8/25/14,130.464,Office Supplies,Envelopes,East
118,3/2/15,787.53,Furniture,Tables,West
119,4/5/15,157.794,Office Supplies,Binders,South
120,6/12/16,47.04,Furniture,Furnishings,East
121,6/12/16,30.84,Office Supplies,Binders,East
122,6/12/16,226.56,Office Supplies,Storage,East
123,6/12/16,115.02,Office Supplies,Envelopes,East
124,6/12/16,68.04,Technology,Phones,East
125,12/26/14,600.558,Furniture,Chairs,Central
126,9/20/14,617.7,Furniture,Tables,Central
127,11/5/17,2.388,Office Supplies,Binders,West
128,11/5/17,243.992,Office Supplies,Storage,West
129,11/6/16,81.424,Furniture,Chairs,West
130,11/6/16,238.56,Furniture,Furnishings,West
131,2/2/17,59.97,Technology,Phones,East
132,2/2/17,78.304,Office Supplies,Paper,East
133,2/2/17,21.456,Office Supplies,Fasteners,East
134,10/13/16,20.04,Office Supplies,Paper,West
135,10/13/16,35.44,Office Supplies,Paper,West
136,10/13/16,11.52,Office Supplies,Art,West
137,10/13/16,4.02,Office Supplies,Fasteners,West
138,10/13/16,76.176,Office Supplies,Binders,West
139,10/13/16,65.88,Office Supplies,Supplies,West
140,10/13/16,43.12,Furniture,Furnishings,West
141,9/5/16,82.8,Furniture,Furnishings,East
142,9/18/17,8.82,Office Supplies,Art,West
143,9/18/17,10.86,Office Supplies,Envelopes,West
144,9/18/17,143.7,Office Supplies,Paper,West
145,12/22/17,839.43,Office Supplies,Appliances,Central
146,9/7/15,671.93,Office Supplies,Storage,West
147,10/22/14,93.888,Furniture,Furnishings,East
148,12/5/16,384.45,Technology,Phones,Central
149,12/5/16,149.97,Technology,Phones,Central
150,12/5/16,1951.84,Furniture,Chairs,Central
151,12/5/16,171.55,Office Supplies,Binders,Central
152,3/13/16,157.92,Office Supplies,Appliances,West
153,3/13/16,203.184,Technology,Phones,West
154,5/31/15,58.38,Office Supplies,Paper,West
155,5/31/15,105.52,Office Supplies,Paper,West
156,5/31/15,80.88,Office Supplies,Storage,West
157,5/28/15,6.63,Office Supplies,Art,West
158,3/1/14,457.568,Furniture,Chairs,West
159,11/20/16,14.62,Office Supplies,Labels,Central
160,11/20/16,944.93,Technology,Phones,Central
161,5/11/16,5.98,Office Supplies,Paper,West
162,12/28/15,54.384,Technology,Accessories,East
163,11/16/16,28.4,Office Supplies,Envelopes,West
164,11/7/16,27.68,Office Supplies,Binders,West
165,9/8/14,9.936,Office Supplies,Art,Central
166,9/8/14,8159.952,Technology,Machines,Central
167,9/8/14,275.928,Office Supplies,Storage,Central
168,9/8/14,1740.06,Furniture,Chairs,Central
169,9/8/14,32.064,Office Supplies,Art,Central
170,9/8/14,177.98,Office Supplies,Appliances,Central
171,9/8/14,143.976,Technology,Phones,Central
172,8/5/14,20.94,Office Supplies,Paper,West
173,8/5/14,110.96,Office Supplies,Paper,West
174,8/5/14,340.144,Furniture,Chairs,West
175,9/14/14,52.448,Office Supplies,Appliances,Central
176,9/14/14,20.16,Office Supplies,Labels,Central
177,4/21/17,97.264,Office Supplies,Appliances,Central
178,11/21/15,396.802,Furniture,Chairs,East
179,11/21/15,15.88,Office Supplies,Supplies,East
180,12/15/15,3.28,Office Supplies,Art,East
181,12/5/14,24.816,Office Supplies,Storage,Central
182,12/5/14,408.744,Technology,Accessories,Central
183,11/19/14,503.96,Technology,Phones,South
184,11/19/14,149.95,Technology,Phones,South
185,11/19/14,29.0,Technology,Accessories,South
186,11/28/16,7.16,Office Supplies,Binders,East
187,8/26/14,176.8,Technology,Accessories,West
188,7/16/16,37.224,Office Supplies,Storage,Central
189,7/16/16,20.016,Office Supplies,Paper,Central
190,10/12/15,899.136,Furniture,Bookcases,East
191,10/12/15,71.76,Technology,Phones,East
192,10/12/15,51.84,Office Supplies,Paper,East
193,10/12/15,626.352,Furniture,Bookcases,East
194,10/12/15,19.9,Office Supplies,Art,East
195,10/31/15,14.28,Office Supplies,Envelopes,West
196,3/21/14,7.408,Office Supplies,Art,East
197,3/21/14,6.048,Office Supplies,Art,East
198,11/6/17,46.26,Office Supplies,Storage,East
199,7/6/17,2.946,Office Supplies,Binders,East
200,7/6/17,16.056,Office Supplies,Paper,East
201,6/24/17,21.744,Office Supplies,Paper,East
202,8/3/14,218.75,Furniture,Tables,West
203,8/3/14,2.6,Office Supplies,Appliances,West
204,12/17/17,66.284,Office Supplies,Appliances,Central
205,6/3/17,35.168,Furniture,Furnishings,South
206,12/9/17,444.768,Technology,Phones,West
207,12/1/17,83.92,Office Supplies,Storage,Central
208,12/1/17,131.98,Technology,Phones,Central
209,12/1/17,15.92,Office Supplies,Binders,Central
210,12/1/17,52.29,Office Supplies,Fasteners,Central
211,12/1/17,91.99,Office Supplies,Storage,Central
212,2/9/15,20.8,Technology,Accessories,Central
213,1/2/15,23.68,Office Supplies,Labels,East
214,1/2/15,452.45,Furniture,Bookcases,East
215,1/2/15,62.982,Technology,Phones,East
216,1/2/15,1188.0,Technology,Machines,East
217,1/2/15,89.584,Technology,Accessories,East
218,10/28/16,93.06,Office Supplies,Storage,West
219,10/28/16,302.376,Technology,Phones,West
220,12/24/15,5.584,Office Supplies,Fasteners,East
221,12/24/15,22.704,Office Supplies,Paper,East
222,12/24/15,19.776,Office Supplies,Binders,East
223,12/24/15,72.704,Furniture,Furnishings,East
224,12/24/15,479.988,Technology,Machines,East
225,12/24/15,27.168,Office Supplies,Art,East
226,8/9/15,2.2,Office Supplies,Art,Central
227,8/9/15,622.45,Furniture,Tables,Central
228,8/9/15,21.98,Office Supplies,Storage,Central
229,2/28/15,161.568,Furniture,Chairs,South
230,2/28/15,389.696,Furniture,Chairs,South
231,9/13/14,18.648,Office Supplies,Binders,South
232,4/7/17,233.86,Furniture,Tables,South
233,4/7/17,620.6145,Furniture,Tables,South
234,4/7/17,5.328,Office Supplies,Binders,South
235,4/7/17,258.072,Furniture,Furnishings,South
236,4/7/17,617.976,Technology,Accessories,South
237,11/12/17,10.56,Office Supplies,Paper,West
238,6/4/16,25.92,Office Supplies,Paper,Central
239,6/4/16,419.68,Furniture,Furnishings,Central
240,6/4/16,11.688,Furniture,Furnishings,Central
241,6/4/16,31.984,Technology,Phones,Central
242,6/4/16,177.225,Furniture,Tables,Central
243,6/4/16,4.044,Furniture,Furnishings,Central
244,6/4/16,7.408,Office Supplies,Art,Central
245,6/1/14,2001.86,Furniture,Chairs,Central
246,6/1/14,166.72,Office Supplies,Storage,Central
247,6/1/14,47.88,Office Supplies,Paper,Central
248,6/1/14,1503.25,Office Supplies,Appliances,Central
249,6/1/14,25.92,Office Supplies,Paper,Central
250,12/10/16,321.568,Furniture,Chairs,West
251,9/11/16,7.61,Office Supplies,Paper,West
252,9/11/16,3347.37,Technology,Accessories,West
253,12/10/16,80.58,Office Supplies,Storage,East
254,12/10/16,361.92,Office Supplies,Envelopes,East
255,11/28/15,12.132,Furniture,Furnishings,Central
256,11/28/15,82.368,Office Supplies,Storage,Central
257,11/28/15,53.92,Office Supplies,Storage,Central
258,11/28/15,647.904,Technology,Phones,Central
259,12/1/17,20.37,Technology,Accessories,East
260,12/1/17,221.55,Office Supplies,Storage,East
261,12/1/17,17.52,Office Supplies,Binders,East
262,6/8/17,1.624,Office Supplies,Appliances,Central
263,9/19/14,3059.982,Technology,Machines,Central
264,9/19/14,2519.958,Technology,Machines,Central
265,6/6/16,328.224,Technology,Phones,Central
266,11/10/15,79.9,Technology,Accessories,West
267,6/16/17,14.016,Office Supplies,Art,South
268,1/22/16,7.56,Office Supplies,Fasteners,East
269,12/9/17,37.208,Office Supplies,Storage,East
270,12/9/17,57.576,Office Supplies,Envelopes,East
271,12/28/17,725.84,Office Supplies,Storage,West
272,7/30/15,209.93,Technology,Accessories,West
273,7/30/15,5.28,Furniture,Furnishings,West
274,7/30/15,10.92,Office Supplies,Binders,West
275,9/16/17,8.82,Office Supplies,Paper,West
276,9/16/17,5.98,Office Supplies,Art,West
277,10/13/17,11.648,Office Supplies,Paper,East
278,10/13/17,18.176,Office Supplies,Paper,East
279,10/13/17,59.712,Office Supplies,Storage,East
280,10/13/17,24.84,Office Supplies,Labels,East
281,9/26/15,2.08,Office Supplies,Binders,Central
282,9/26/15,1114.4,Technology,Phones,Central
283,11/2/15,1038.84,Furniture,Tables,West
284,9/26/15,141.76,Office Supplies,Paper,West
285,9/26/15,239.8,Technology,Accessories,West
286,9/26/15,31.104,Office Supplies,Paper,West
287,12/18/16,254.058,Office Supplies,Binders,South
288,12/18/16,194.528,Office Supplies,Appliances,South
289,12/18/16,961.48,Office Supplies,Supplies,South
290,11/20/16,19.096,Office Supplies,Fasteners,East
291,11/20/16,18.496,Office Supplies,Labels,East
292,11/20/16,255.984,Technology,Accessories,East
293,11/20/16,86.97,Furniture,Bookcases,East
294,12/26/14,300.416,Furniture,Furnishings,West
295,12/26/14,230.352,Furniture,Chairs,West
296,12/26/14,218.352,Furniture,Furnishings,West
297,12/26/14,78.6,Office Supplies,Binders,West
298,12/26/14,27.552,Office Supplies,Fasteners,West
299,10/28/16,32.4,Office Supplies,Paper,East
300,10/28/16,1082.48,Office Supplies,Storage,East
301,10/28/16,56.91,Office Supplies,Paper,East
302,10/28/16,77.6,Furniture,Furnishings,East
303,10/28/16,14.28,Office Supplies,Binders,East
304,11/19/17,219.075,Furniture,Tables,Central
305,5/4/15,26.8,Furniture,Furnishings,East
306,12/30/14,9.84,Office Supplies,Art,Central
307,6/1/14,45.48,Office Supplies,Binders,East
308,6/1/14,289.2,Office Supplies,Art,East
309,4/15/17,4.89,Office Supplies,Art,South
310,9/12/16,15.136,Furniture,Furnishings,West
311,9/12/16,466.768,Furniture,Chairs,West
312,9/12/16,15.232,Furniture,Furnishings,West
313,9/12/16,6.264,Office Supplies,Labels,West
314,9/27/14,87.54,Furniture,Furnishings,East
315,8/9/14,178.384,Technology,Phones,South
316,8/9/14,15.552,Office Supplies,Paper,South
317,12/28/14,99.136,Office Supplies,Art,East
318,11/4/14,135.882,Furniture,Chairs,East
319,11/4/14,3991.98,Technology,Machines,East
320,11/4/14,275.94,Technology,Phones,East
321,11/4/14,360.0,Technology,Accessories,East
322,11/4/14,43.57,Office Supplies,Storage,East
323,9/19/14,7.16,Office Supplies,Fasteners,West
324,4/23/16,251.52,Office Supplies,Binders,West
325,4/23/16,99.99,Technology,Accessories,West
326,11/3/17,15.992,Furniture,Furnishings,South
327,8/30/16,290.898,Technology,Phones,East
328,8/30/16,54.224,Office Supplies,Storage,East
329,8/30/16,786.744,Furniture,Chairs,East
330,8/30/16,100.24,Office Supplies,Labels,East
331,8/30/16,37.764,Office Supplies,Binders,East
332,4/25/16,82.8,Technology,Phones,East
333,4/25/16,20.724,Office Supplies,Binders,East
334,4/25/16,4.896,Office Supplies,Binders,East
335,9/1/15,4.752,Office Supplies,Binders,West
336,9/1/15,959.984,Technology,Copiers,West
337,9/1/15,14.368,Office Supplies,Binders,West
338,7/12/14,7.712,Office Supplies,Binders,West
339,7/12/14,698.352,Furniture,Tables,West
340,6/22/15,4.96,Office Supplies,Fasteners,West
341,4/13/14,17.856,Office Supplies,Art,East
342,4/13/14,509.97,Office Supplies,Binders,East
343,4/13/14,30.992,Office Supplies,Fasteners,East
344,4/13/14,71.928,Technology,Phones,East
345,12/20/15,88.8,Office Supplies,Storage,Central
346,6/15/17,47.976,Technology,Phones,West
347,7/8/17,7.56,Office Supplies,Art,East
348,7/8/17,24.56,Office Supplies,Paper,East
349,7/8/17,12.96,Office Supplies,Art,East
350,9/1/16,6.79,Technology,Accessories,East
351,9/1/16,24.56,Office Supplies,Paper,East
352,9/1/16,3.048,Office Supplies,Binders,East
353,9/1/16,49.12,Office Supplies,Paper,East
354,9/1/16,4355.168,Office Supplies,Binders,East
355,4/8/16,388.704,Furniture,Bookcases,East
356,4/8/16,8.26,Office Supplies,Envelopes,East
357,4/8/16,17.04,Office Supplies,Art,East
358,4/8/16,34.4,Office Supplies,Paper,East
359,4/23/16,36.24,Office Supplies,Paper,South
360,3/8/17,647.84,Office Supplies,Appliances,South
361,3/8/17,20.7,Office Supplies,Labels,South
362,9/25/17,20.7,Office Supplies,Labels,East
363,9/25/17,488.646,Furniture,Chairs,East
364,9/25/17,5.56,Office Supplies,Art,East
365,9/25/17,47.12,Furniture,Furnishings,East
366,9/24/14,211.96,Office Supplies,Storage,West
367,10/21/16,23.2,Office Supplies,Binders,East
368,10/21/16,7.36,Office Supplies,Supplies,East
369,10/21/16,104.79,Office Supplies,Storage,East
370,10/21/16,1043.92,Furniture,Bookcases,East
371,5/29/17,25.92,Office Supplies,Paper,Central
372,5/29/17,53.424,Office Supplies,Storage,Central
373,7/23/14,8.16,Office Supplies,Binders,West
374,7/23/14,1023.936,Technology,Accessories,West
375,7/23/14,9.24,Office Supplies,Art,West
376,7/23/14,479.04,Technology,Accessories,West
377,9/28/16,99.136,Office Supplies,Paper,Central
378,8/27/17,1488.424,Furniture,Tables,East
379,4/28/15,8.652,Office Supplies,Appliances,Central
380,4/28/15,23.832,Office Supplies,Storage,Central
381,4/28/15,12.176,Office Supplies,Binders,Central
382,10/28/16,50.96,Office Supplies,Paper,West
383,10/28/16,49.536,Office Supplies,Binders,West
384,6/26/15,41.9,Technology,Accessories,Central
385,11/27/15,375.4575,Furniture,Tables,South
386,11/27/15,83.976,Technology,Accessories,South
387,12/3/15,482.34,Technology,Machines,East
388,12/3/15,2.96,Furniture,Furnishings,East
389,11/24/14,2.624,Office Supplies,Art,East
390,12/11/17,23.36,Office Supplies,Binders,East
391,12/11/17,39.98,Technology,Accessories,East
392,9/21/14,246.384,Technology,Phones,West
393,9/21/14,1799.97,Technology,Copiers,West
394,6/7/14,12.462,Office Supplies,Binders,Central
395,6/30/17,75.792,Office Supplies,Binders,West
396,10/17/17,49.96,Office Supplies,Storage,East
397,10/17/17,12.96,Office Supplies,Paper,East
398,10/31/15,70.12,Office Supplies,Supplies,Central
399,9/8/16,35.952,Office Supplies,Storage,Central
400,9/8/16,2396.2656,Furniture,Bookcases,Central
401,9/8/16,131.136,Office Supplies,Storage,Central
402,9/8/16,57.584,Technology,Accessories,Central
403,12/24/14,9.568,Office Supplies,Paper,South
404,4/16/14,39.072,Office Supplies,Art,South
405,12/24/17,35.91,Office Supplies,Appliances,East
406,12/8/17,179.95,Technology,Accessories,West
407,12/8/17,1199.976,Technology,Copiers,West
408,12/8/17,27.15,Office Supplies,Paper,West
409,12/8/17,1004.024,Furniture,Tables,West
410,12/8/17,9.68,Office Supplies,Paper,West
411,12/8/17,28.35,Office Supplies,Labels,West
412,12/8/17,55.98,Office Supplies,Paper,West
413,12/8/17,1336.829,Furniture,Bookcases,West
414,12/8/17,113.568,Furniture,Chairs,West
415,11/3/17,139.86,Office Supplies,Paper,West
416,11/3/17,307.136,Furniture,Chairs,West
417,6/24/17,95.92,Office Supplies,Art,West
418,4/14/16,383.8,Furniture,Chairs,West
419,11/6/17,5.78,Office Supplies,Paper,South
420,3/4/17,9.32,Office Supplies,Art,West
421,3/4/17,15.25,Office Supplies,Envelopes,West
422,6/22/14,196.752,Technology,Accessories,West
423,10/19/17,56.56,Furniture,Furnishings,East
424,10/19/17,32.7,Office Supplies,Storage,East
425,8/21/17,866.4,Furniture,Chairs,South
426,11/23/17,28.4,Furniture,Furnishings,Central
427,11/23/17,287.92,Office Supplies,Binders,Central
428,9/12/14,69.99,Technology,Machines,East
429,10/1/17,6.672,Office Supplies,Art,Central
430,4/15/16,189.588,Office Supplies,Binders,South
431,4/15/16,408.744,Technology,Accessories,South
432,4/15/16,291.96,Technology,Accessories,South
433,4/15/16,4.768,Office Supplies,Storage,South
434,6/6/16,714.3,Office Supplies,Storage,East
435,12/19/14,4.812,Office Supplies,Binders,South
436,12/19/14,247.8,Technology,Accessories,South
437,6/12/16,1007.979,Technology,Machines,Central
438,6/12/16,313.488,Office Supplies,Paper,Central
439,9/15/17,31.872,Office Supplies,Paper,Central
440,1/20/17,207.846,Furniture,Chairs,East
441,9/5/16,12.22,Furniture,Furnishings,Central
442,9/5/16,194.94,Office Supplies,Storage,Central
443,9/5/16,70.95,Office Supplies,Storage,Central
444,9/5/16,91.36,Office Supplies,Paper,Central
445,9/5/16,242.94,Furniture,Chairs,Central
446,9/5/16,22.05,Office Supplies,Labels,Central
447,3/20/17,2.91,Furniture,Furnishings,Central
448,4/1/16,59.52,Office Supplies,Art,East
449,4/1/16,161.94,Office Supplies,Storage,East
450,4/1/16,263.88,Office Supplies,Art,East
451,4/1/16,30.48,Office Supplies,Art,East
452,4/1/16,9.84,Office Supplies,Art,East
453,4/1/16,35.12,Technology,Phones,East
454,10/20/17,284.364,Furniture,Tables,East
455,10/20/17,665.408,Office Supplies,Storage,East
456,12/13/16,63.88,Technology,Accessories,Central
457,2/12/14,129.568,Furniture,Chairs,West
458,9/26/16,747.558,Furniture,Chairs,Central
459,9/26/16,8.928,Office Supplies,Envelopes,Central
460,12/15/15,103.92,Office Supplies,Appliances,West
461,12/15/15,899.91,Technology,Accessories,West
462,12/15/15,51.312,Office Supplies,Binders,West
463,4/22/16,23.56,Furniture,Furnishings,West
464,4/22/16,1272.63,Furniture,Tables,West
465,4/22/16,28.485,Office Supplies,Binders,West
466,4/22/16,185.376,Office Supplies,Supplies,West
467,4/22/16,78.272,Office Supplies,Appliances,West
468,1/17/15,254.744,Furniture,Furnishings,Central
469,3/31/17,205.3328,Furniture,Bookcases,Central
470,12/16/16,4.788,Office Supplies,Binders,Central
471,12/20/15,55.48,Office Supplies,Paper,East
472,11/9/14,340.92,Office Supplies,Storage,West
473,11/9/14,222.666,Furniture,Bookcases,West
474,11/9/14,703.968,Technology,Phones,West
475,11/9/14,92.52,Office Supplies,Storage,West
476,11/9/14,62.65,Office Supplies,Paper,West
477,11/9/14,94.85,Office Supplies,Paper,West
478,7/12/16,95.76,Technology,Phones,West
479,10/27/16,40.2,Furniture,Furnishings,East
480,6/26/16,14.7,Office Supplies,Art,East
481,6/26/16,704.25,Office Supplies,Storage,East
482,10/6/14,9.09,Technology,Accessories,West
483,7/22/14,5.96,Office Supplies,Art,East
484,7/22/14,159.98,Technology,Accessories,East
485,6/10/17,29.6,Office Supplies,Labels,West
486,6/10/17,514.165,Furniture,Bookcases,West
487,6/10/17,279.96,Technology,Phones,West
488,10/29/14,2735.952,Technology,Phones,Central
489,6/9/14,7.992,Technology,Phones,Central
490,6/9/14,63.984,Technology,Accessories,Central
491,6/9/14,70.368,Office Supplies,Art,Central
492,9/14/14,449.15,Office Supplies,Storage,East
493,9/14/14,11.07,Office Supplies,Envelopes,East
494,5/9/16,93.98,Technology,Accessories,West
495,3/18/16,189.882,Furniture,Tables,South
496,12/27/15,105.42,Office Supplies,Envelopes,South
497,7/25/16,119.616,Office Supplies,Binders,West
498,7/25/16,255.76,Furniture,Furnishings,West
499,7/25/16,241.568,Furniture,Chairs,West
500,7/25/16,69.3,Furniture,Furnishings,West
501,5/30/16,22.62,Office Supplies,Binders,West
502,5/30/16,14.952,Office Supplies,Binders,West
503,5/30/16,801.568,Furniture,Chairs,West
504,5/30/16,2.376,Office Supplies,Binders,West
505,5/30/16,32.792,Office Supplies,Paper,West
506,11/12/17,15.92,Office Supplies,Binders,East
507,3/16/15,2.74,Office Supplies,Art,South
508,3/16/15,8.34,Office Supplies,Art,South
509,3/16/15,46.74,Office Supplies,Storage,South
510,3/16/15,6354.95,Office Supplies,Binders,South
511,11/26/17,126.3,Furniture,Furnishings,Central
512,11/26/17,38.04,Technology,Accessories,Central
513,10/20/16,7.152,Office Supplies,Art,East
514,12/21/17,6.63,Office Supplies,Art,West
515,12/21/17,5.88,Office Supplies,Art,West
516,1/22/17,2999.95,Technology,Copiers,West
517,1/22/17,51.45,Office Supplies,Storage,West
518,1/22/17,11.96,Office Supplies,Paper,West
519,1/22/17,1126.02,Office Supplies,Storage,West
520,3/22/15,18.392,Technology,Accessories,Central
521,3/22/15,129.568,Office Supplies,Storage,Central
522,3/22/15,14.112,Office Supplies,Binders,Central
523,1/23/17,210.98,Furniture,Tables,Central
524,5/21/16,55.176,Technology,Phones,West
525,5/21/16,66.26,Technology,Accessories,West
526,12/26/15,22.2,Office Supplies,Fasteners,East
527,10/21/17,683.952,Furniture,Chairs,South
528,10/21/17,45.696,Furniture,Furnishings,South
529,9/3/15,36.336,Office Supplies,Storage,East
530,9/3/15,666.248,Office Supplies,Supplies,East
531,9/3/15,52.512,Office Supplies,Envelopes,East
532,11/7/15,190.72,Furniture,Chairs,West
533,9/7/17,47.94,Furniture,Furnishings,West
534,5/29/16,979.95,Technology,Phones,South
535,5/29/16,22.75,Office Supplies,Binders,South
536,7/10/16,16.768,Office Supplies,Storage,West
537,9/3/17,42.616,Office Supplies,Binders,Central
538,12/3/15,10.752,Office Supplies,Binders,East
539,12/7/15,152.94,Office Supplies,Appliances,South
540,12/7/15,283.92,Furniture,Chairs,South
541,2/1/14,468.9,Technology,Accessories,Central
542,7/14/16,380.864,Technology,Phones,West
543,12/18/15,646.776,Office Supplies,Storage,East
544,5/11/14,58.112,Technology,Accessories,Central
545,5/11/14,100.792,Technology,Phones,Central
546,5/11/14,66.112,Furniture,Furnishings,Central
547,11/19/17,41.28,Office Supplies,Binders,East
548,11/19/17,13.36,Office Supplies,Paper,East
549,11/15/15,250.272,Office Supplies,Storage,Central
550,11/15/15,11.364,Office Supplies,Binders,Central
551,11/15/15,8.72,Office Supplies,Supplies,Central
552,4/15/16,1121.568,Furniture,Chairs,West
553,9/11/17,34.504,Furniture,Furnishings,South
554,11/24/17,10.824,Office Supplies,Fasteners,Central
555,6/29/17,1295.78,Office Supplies,Storage,West
556,3/3/14,19.456,Office Supplies,Art,South
557,6/10/16,20.7,Office Supplies,Labels,West
558,6/10/16,1335.68,Furniture,Tables,West
559,6/10/16,32.4,Office Supplies,Paper,West
560,11/20/17,42.6,Furniture,Furnishings,West
561,11/20/17,84.056,Office Supplies,Binders,West
562,9/14/14,13.0,Office Supplies,Appliances,South
